iter	Passed	Remaining
731	3992	1461
732	3997	1456
733	4003	1450
734	4010	1445
735	4015	1440
736	4019	1434
737	4022	1427
738	4027	1422
739	4031	1416
740	4035	1410
741	4039	1404
742	4044	1398
743	4049	1393
744	4054	1387
745	4059	1382
746	4066	1377
747	4070	1371
748	4076	1365
749	4081	1360
750	4084	1354
751	4089	1348
752	4093	1342
753	4097	1336
754	4102	1331
755	4107	1325
756	4112	1320
757	4117	1314
758	4121	1308
759	4126	1303
760	4131	1297
761	4135	1291
762	4146	1287
763	4150	1281
764	4156	1276
765	4164	1272
766	4168	1266
767	4176	1261
768	4180	1255
769	4186	1250
770	4192	1245
771	4197	1239
772	4203	1234
773	4207	1228
774	4213	1223
775	4217	1217
776	4221	1211
777	4228	1206
778	4233	1201
779	4237	1195
780	4241	1189
781	4247	1184
782	4251	1178
783	4255	1172
784	4260	1166
785	4264	1160
786	4270	1155
787	4274	1150
788	4278	1144
789	4283	1138
790	4288	1132
791	4291	1127
792	4296	1121
793	4300	1115
794	4304	1109
795	4309	1104
796	4314	1098
797	4318	1093
798	4323	1087
799	4328	1082
800	4334	1076
801	4339	1071
802	4344	1065
803	4349	1060
804	4353	1054
805	4359	1049
806	4364	1043
807	4368	1038
808	4375	1032
809	4379	1027
810	4383	1021
811	4389	1016
812	4394	1010
813	4398	1005
814	4405	999
815	4408	994
816	4412	988
817	4417	982
818	4421	977
819	4428	972
820	4432	966
821	4436	960
822	4444	955
823	4449	950
824	4454	944
825	4460	939
826	4465	934
827	4473	929
828	4479	923
829	4483	918
830	4489	912
831	4493	907
832	4498	901
833	4502	896
834	4507	890
835	4513	885
836	4518	879
837	4524	874
838	4529	869
839	4534	863
840	4541	858
841	4545	853
842	4552	847
843	4556	842
844	4560	836
845	4564	830
846	4568	825
847	4574	819
848	4580	814
849	4584	808
850	4590	803
851	4596	798
852	4601	792
853	4609	788
854	4613	782
855	4619	777
856	4623	771
857	4629	766
858	4634	760
859	4638	755
860	4647	750
861	4652	744
862	4656	739
863	4661	733
864	4666	728
865	4671	722
866	4676	717
867	4682	712
868	4687	706
869	4691	701
870	4696	695
871	4705	690
872	4710	685
873	4717	680
874	4723	674
875	4729	669
876	4735	664
877	4739	658
878	4744	653
879	4749	647
880	4756	642
881	4761	636
882	4794	635
883	4828	633
884	4834	628
885	4840	622
886	4875	621
887	4885	616
888	4897	611
889	4910	606
890	4920	601
891	4928	596
892	4936	591
893	4944	586
894	4948	580
895	4953	574
896	4957	569
897	4961	563
898	4965	557
899	4969	552
900	4981	547
901	4994	542
902	5004	537
903	5011	532
904	5016	526
905	5020	520
906	5024	515
907	5029	509
908	5032	503
909	5036	498
910	5041	492
911	5045	486
912	5050	481
913	5056	475
914	5059	470
915	5063	464
916	5082	460
917	5086	454
918	5089	448
919	5093	442
920	5098	437
921	5101	431
922	5105	425
923	5111	420
924	5115	414
925	5118	409
926	5123	403
927	5128	397
928	5132	392
929	5138	386
930	5143	381
931	5147	375
932	5153	370
933	5157	364
934	5161	358
935	5166	353
936	5170	347
937	5173	341
938	5180	336
939	5184	330
940	5187	325
941	5191	319
942	5196	314
943	5200	308
944	5204	302
945	5210	297
946	5214	291
947	5218	286
948	5222	280
949	5226	275
950	5229	269
951	5232	263
952	5236	258
953	5240	252
954	5243	247
955	5250	241
956	5254	236
957	5257	230
958	5261	224
959	5266	219
960	5269	213
961	5275	208
962	5281	202
963	5284	197
964	5289	191
965	5293	186
966	5298	180
967	5302	175
968	5306	169
969	5310	164
970	5314	158
971	5319	153
972	5322	147
973	5325	142
974	5329	136
975	5332	131
976	5336	125
977	5339	120
978	5344	114
979	5348	109
980	5351	103
981	5356	98
982	5360	92
983	5364	87
984	5367	81
985	5371	76
986	5375	70
987	5378	65
988	5382	59
989	5387	54
990	5390	48
991	5394	43
992	5398	38
993	5402	32
994	5405	27
995	5426	21
996	5430	16
997	5434	10
998	5440	5
999	5444	0
